SUMMARIZATION_LEVEL,NAME,ORGANIZATION_CITY,ORGANIZATION_ZIP,PRODUCT_TYPE,MEASURE_CODE,MEASURE_DESCRIPTION,MEASURE_COMPONENT,MEASURE_SUMMARY_UNITS,AGE_STRATIFICATION,MEASURE_RESULT,LOWER_95_CI,UPPER_95_CI,REPORTING_PERIOD_BEGIN_DT,REPORTING_PERIOD_END_DT,PERFORMANCE_CATEGORY
Clinic,Kvh Family Medicine - Cle Elum,Cle Elum,98922,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,2.36,1.03,3.69,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Associates In Family Medicine - Bellingham,Bellingham,98225,COMMERCIAL,MPM-ACE,Annual Monitoring for Patients on Persistent Medications - ACE Inhibitors or ARBs,Compliance,Percent Compliance,Overall,0.84,0.76,0.91,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Multicare Auburn Clinic Family Practice,Auburn,98002,COMMERCIAL,CDC-NEPH,Comprehensive Diabetes Care - Medical Attention for Nephrology,Compliance,Percent Compliance,Overall,0.97,0.89,1,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Skagit Regional Clinics - Mount Vernon,Mount Vernon,98274,MEDICAID,W15,Well-Child Visits in the First 15 Months of Life,Compliance - 6+ Visits,Percent Compliance,Overall,0.68,0.61,0.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Multicare Tacoma Central Internal Medicine,Tacoma,98405,MEDICAID,CDC-NEPH,Comprehensive Diabetes Care - Medical Attention for Nephrology,Compliance,Percent Compliance,Overall,0.95,0.87,1,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Selah Family Medicine,Selah,98942,COMMERCIAL,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.81,0.75,0.86,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Lincoln Hospital - Davenport Clinic,Davenport,99122,COMMERCIAL,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,16.05,13.93,18.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Franciscan Medical Clinic - Enumclaw,Enumclaw,98022,MEDICAID,W15,Well-Child Visits in the First 15 Months of Life,Compliance - 6+ Visits,Percent Compliance,Overall,0.65,0.52,0.78,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Tri-Cities Community Health - Pasco,Pasco,99301,MEDICAID,PDC-STA,Proportion of Days Covered - Statins (STA),Compliance,Percent Compliance,Overall,0.55,0.49,0.61,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Confluence Health - Moses Lake Clinic,Moses Lake,98837,MEDICAID,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.6,0.56,0.64,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Lynden Family Medicine,Lynden,98264,COMMERCIAL,MEDPRAC-RATING,Overall Rating of Medical Practice,Score,Stars,,2,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Swedish Health Services - Edmonds Primary Care,Edmonds,98026,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Everett Clinic - Marysville,Marysville,98270,COMMERCIAL,MEDPRAC-RATING,Overall Rating of Medical Practice,Score,Stars,,2,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Vancouver Clinic - Columbia Tech Center,Vancouver,98684,COMMERCIAL,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.71,0.63,0.79,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Providence Health & Services  - West Olympia Family Medicine,Olympia,98502,MEDICAID,MEDPRAC-RATING,Overall Rating of Medical Practice,Score,Stars,,2,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Swedish Health Services �- Family Medicine Cherry Hill,Seattle,98122,MEDICAID,CHL,Chlamydia Screening in Women,Compliance,Percent Compliance,Overall,0.66,0.48,0.84,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Uw Neighborhood Factoria Clinic,Bellevue,98006,COMMERCIAL,CDC-EYE,Comprehensive Diabetes Care - Eye Exam Performed,Compliance,Percent Compliance,Overall,0.53,0.34,0.73,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Uw Neighborhood Northgate Clinic,Seattle,98125,COMMERCIAL,CHL,Chlamydia Screening in Women,Compliance,Percent Compliance,Overall,0.54,0.41,0.67,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Swedish Health Services - Seattle - Queen Anne Primary Care,Seattle,98109,MEDICAID,MEDPRAC-RATING,Overall Rating of Medical Practice,Score,Stars,,3,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Franciscan Medical Clinic - Port Orchard,Port Orchard,98367,COMMERCIAL,MEDPRAC-RATING,Overall Rating of Medical Practice,Score,Stars,,2,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Everett Clinic - Shoreline,Shoreline,98133,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Advanced Family Medicine - Redmond,Redmond,98052,MEDICAID,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Harborview Pediatric Clinics,Seattle,98105,MEDICAID,W15,Well-Child Visits in the First 15 Months of Life,Compliance - 6+ Visits,Percent Compliance,Overall,0.56,0.45,0.66,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Providence Health & Services  - West Olympia Family Medicine,Olympia,98502,COMMERCIAL,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.64,0.55,0.73,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,Healthpoint Redmond,Redmond,98052,MEDICAID,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,98.38,93.59,103.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Everett Clinic - Marysville,Marysville,98270,MEDICAID,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.65,0.53,0.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Evergreenhealth Primary Care - Redmond,Redmond,98052,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Yelm Family Medicine,Yelm,98597,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,1.83,1.1,2.57,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Community Health Center Of Snohomish County - Everett Northclinic,Everett,98201,MEDICAID,PDC-DR,Proportion of Days Covered - Diabetes All Class (DR),Compliance,Percent Compliance,Overall,0.59,0.48,0.69,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Shelton Family Medicine And Orthopedics,Shelton,98584,MEDICAID,CDC-NEPH,Comprehensive Diabetes Care - Medical Attention for Nephrology,Compliance,Percent Compliance,Overall,0.73,0.64,0.83,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Multicare Rockwood Moran Prairie Family Medicine,Spokane,99223,MEDICAID,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Multicare East Pierce Family Medicine,Puyallup,98372,MEDICAID,CHL,Chlamydia Screening in Women,Compliance,Percent Compliance,Overall,0.47,0.35,0.59,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Valley Medical Center - Kent Clinic,Kent,98030,MEDICAID,PDC-STA,Proportion of Days Covered - Statins (STA),Compliance,Percent Compliance,Overall,0.46,0.34,0.57,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Neighborcare Health At Rainier Beach,Seattle,98118,MEDICAID,MPM-ACE,Annual Monitoring for Patients on Persistent Medications - ACE Inhibitors or ARBs,Compliance,Percent Compliance,Overall,0.95,0.91,0.98,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Multicare Covington Clinic Family Practice,Covington,98042,MEDICAID,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,3.36,2.02,4.71,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Lake Serene Clinic,Lynwood,98087,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Columbia Basin Health Association - Othello Family Clinic,Othello,99344,MEDICAID,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.69,0.61,0.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Sea-Mar Community Health Center - Vancouver Medical Clinic - Delaware,Vancouver,98664,MEDICAID,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,99.18,96.03,102.34,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Hudson'S Bay Medical Group,Vancouver,98663,MEDICAID,CHL,Chlamydia Screening in Women,Compliance,Percent Compliance,Overall,0.35,0.18,0.53,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Pacific Medical Centers  - Totem Lake,Kirkland,98034,COMMERCIAL,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.78,0.74,0.82,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Kaiser Permanente Everett Medical Center,Everett,98201,COMMERCIAL,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,13.04,12.17,13.92,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Franciscan Medical Clinic - Canyon Rd,Puyallup,98375,MEDICAID,MEDPRAC-RATING,Overall Rating of Medical Practice,Score,Stars,,2,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Multicare Rockwood Valley Clinic,Spokane Valley,99216,COMMERCIAL,LBP,Use of imaging studies for Low Back Pain,Compliance,Percent Compliance,Overall,0.82,0.71,0.92,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Yelm Family Medicine,Yelm,98597,MEDICAID,CDC-NEPH,Comprehensive Diabetes Care - Medical Attention for Nephrology,Compliance,Percent Compliance,Overall,0.88,0.76,1,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Multicare Lakewood Clinic,Lakewood,98499,MEDICAID,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,1.87,0.81,2.93,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Valley Medical Center - Fairwood Clinic,Renton,98058,COMMERCIAL,CDC-HBA1C,Comprehensive Diabetes Care - HbA1c Testing,Compliance,Percent Compliance,Overall,0.94,0.83,1,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Virginia Mason Issaquah Medical Center,Issaquah,98027,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Community Health Association Of Spokane - Maple Street Clinic,Spokane,99205,MEDICAID,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.52,0.48,0.56,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,The Doctors Clinic - Ridgetop West-Silverdale,Silverdale,98383,COMMERCIAL,AAB,Avoidance of Antibiotic Treatment in Adults With Acute Bronchitis,Compliance,Percent Compliance,Overall,0.31,0.17,0.45,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Shelton Family Medicine And Orthopedics,Shelton,98584,COMMERCIAL,PDC-DR,Proportion of Days Covered - Diabetes All Class (DR),Compliance,Percent Compliance,Overall,0.63,0.44,0.81,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Franciscan Medical Clinic - Westwood,Seattle,98106,COMMERCIAL,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.48,0.32,0.64,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Vancouver Clinic - Columbia Tech Center,Vancouver,98684,COMMERCIAL,PDC-STA,Proportion of Days Covered - Statins (STA),Compliance,Percent Compliance,Overall,0.66,0.57,0.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Whitman Medical Group - Colfax,Colfax,99111,MEDICAID,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,73.2,68.16,78.24,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Polyclinic - Madison Center,Seattle,98104,COMMERCIAL,PDC-DR,Proportion of Days Covered - Diabetes All Class (DR),Compliance,Percent Compliance,Overall,0.74,0.68,0.8,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Swedish Health Services - Snoqualmie,Snoqualmie,98065,MEDICAID,W34,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",Compliance,Percent Compliance,Overall,0.76,0.66,0.85,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Confluence Health - Methow Valley Clinic,Winthrop,98862,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Uw Neighborhood Smokey Point Clinic,Arlington,98223,COMMERCIAL,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,14.49,10.85,18.13,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Multicare West Tacoma Family Medicine,Tacoma,98406,MEDICAID,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.54,0.44,0.65,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Women'S Health Care Center At Uwmc - Roosevelt,Seattle,98105,MEDICAID,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.57,0.42,0.71,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Providence Health & Services - St Peter Family Medicine,Olympia,98506,COMMERCIAL,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,26.34,21.2,31.47,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Franciscan Medical Clinic - West Seattle,Seattle,98126,MEDICAID,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.65,0.49,0.81,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Everett Clinic - Mill Creek,Mill Creek,98012,MEDICAID,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,65.46,60.41,70.5,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Swedish Health Services - Factoria,Bellevue,98006,MEDICAID,MPM-ACE,Annual Monitoring for Patients on Persistent Medications - ACE Inhibitors or ARBs,Compliance,Percent Compliance,Overall,0.86,0.76,0.96,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Vancouver Clinic - Salmon Creek,Vancouver,98686,COMMERCIAL,LBP,Use of imaging studies for Low Back Pain,Compliance,Percent Compliance,Overall,0.81,0.72,0.89,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kaiser Permanente Factoria Medical Center,Bellevue,98006,COMMERCIAL,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.78,0.75,0.8,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Sea-Mar Community Health Center - Vancouver Medical Clinic - Delaware,Vancouver,98664,MEDICAID,CDC-EYE,Comprehensive Diabetes Care - Eye Exam Performed,Compliance,Percent Compliance,Overall,0.36,0.29,0.44,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Skagit Regional Clinics - Mount Vernon,Mount Vernon,98274,MEDICAID,PDC-DR,Proportion of Days Covered - Diabetes All Class (DR),Compliance,Percent Compliance,Overall,0.56,0.45,0.67,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kadlec - Richland Primary Care,Richland,99352,COMMERCIAL,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.86,0.82,0.91,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,"Peacehealth Medical Group - Bellingham Clinic, Cordata Main",Bellingham,98226,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Indian Health Board - Seattle,Seattle,98144,MEDICAID,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.44,0.34,0.54,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,The Doctors Clinic - Port Orchard,Port Orchard,98366,COMMERCIAL,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.8,0.72,0.88,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,"Providence Health & Services - Pediatrics, Mill Creek Campus",Everett,98208,MEDICAID,CWP,Appropriate Testing for Children With Pharyngitis,Compliance,Percent Compliance,Overall,1,1,1,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Multicare Maple Valley Clinic,Maple Valley,98038,MEDICAID,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.56,0.38,0.73,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Healthpoint Federal Way,Federal Way,98003,MEDICAID,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.61,0.54,0.68,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Swedish Health Services - Issaquah Primary Care,Issaquah,98029,COMMERCIAL,W34,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",Compliance,Percent Compliance,Overall,0.76,0.69,0.83,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Statewide,,,,MEDICAID,PDC-DR,Proportion of Days Covered - Diabetes All Class (DR),Compliance,Percent Compliance,Overall,0.6,0.59,0.61,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Clinic,Peacehealth Medical Group - Family Medicine Of Southwest Washington,Vancouver,98663,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Greenlake Primary Care,Seattle,98115,COMMERCIAL,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.6,0.44,0.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Valley Medical Center - Senior Care & Internal Medicine,Renton,98055,COMMERCIAL,PDC-STA,Proportion of Days Covered - Statins (STA),Compliance,Percent Compliance,Overall,0.46,0.34,0.59,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Valley Medical Center - Senior Care & Internal Medicine,Renton,98055,COMMERCIAL,PDC-DR,Proportion of Days Covered - Diabetes All Class (DR),Compliance,Percent Compliance,Overall,0.44,0.27,0.6,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Statewide,,,,COMMERCIAL,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.71,0.71,0.71,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Clinic,Uw Neighborhood Shoreline Clinic,Shoreline,98133,COMMERCIAL,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.71,0.68,0.74,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Cascade Medical - Family Practice Clinic,Leavenworth,98826,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,"Franciscan Medical Clinic - St. Joseph, Yakima Avenue",Tacoma,98405,MEDICAID,CDC-NEPH,Comprehensive Diabetes Care - Medical Attention for Nephrology,Compliance,Percent Compliance,Overall,0.84,0.74,0.94,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
